benchmark,nanos,unixts.after,unixts.before
scala-kmeans,684689268,1587028286012,1587028285327
scala-kmeans,680166881,1587028286692,1587028286012
scala-kmeans,674968328,1587028287367,1587028286692
scala-kmeans,719413102,1587028288087,1587028287368
scala-kmeans,687508548,1587028288775,1587028288087
scala-kmeans,684587176,1587028289460,1587028288775
scala-kmeans,688645877,1587028290149,1587028289460
scala-kmeans,692312574,1587028290842,1587028290149
scala-kmeans,681904174,1587028291524,1587028290842
scala-kmeans,680245975,1587028292204,1587028291524
scala-kmeans,681133945,1587028292886,1587028292205
scala-kmeans,681197404,1587028293567,1587028292886
scala-kmeans,687324372,1587028294255,1587028293568
als,10948616857,1587024717753,1587024706804
als,5962065504,1587024723715,1587024717753
als,5969536888,1587024729685,1587024723716
als,6199768780,1587024735885,1587024729685
als,6193378163,1587024742079,1587024735885
als,5760269171,1587024747839,1587024742079
als,5691742286,1587024753531,1587024747840
als,5611728474,1587024759143,1587024753532
als,6575031095,1587024765719,1587024759143
als,6022977387,1587024771742,1587024765719
als,5232542059,1587024776974,1587024771742
als,4939826104,1587024781914,1587024776975
als,5783457001,1587024787698,1587024781915
als,5988308439,1587024793687,1587024787698
als,5087003589,1587024798774,1587024793687
als,6210546470,1587024804985,1587024798774
als,5671774170,1587024810657,1587024804985
als,6108896678,1587024816766,1587024810657
als,5920316830,1587024822686,1587024816766
als,6123878775,1587024828810,1587024822687
als,6238694004,1587024835049,1587024828811
als,5996204149,1587024841046,1587024835050
als,6325081830,1587024847371,1587024841046
als,6006068413,1587024853377,1587024847371
als,7096837735,1587024860474,1587024853377
als,6406668899,1587024866881,1587024860474
als,6316869641,1587024873198,1587024866881
als,6173787011,1587024879372,1587024873198
als,6737598574,1587024886110,1587024879372
als,5795534893,1587024891906,1587024886110
